LSR_GOODS_CD,LSR_GOODS_NM,CSTMR_INQRY_CTTPLC_DC
23120,[전북 군산] 군산투어패스 : 군산 5대 관광지 자유이용권,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
23121,[전북 군산] 군산투어패스 + 테디베어 뮤지엄,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
23130,[부산 서면] 깜부 키즈카페,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
23186,[강원 영월] 영월 패러글라이딩,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
23187,[경북 상주] 활공랜드,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
23203,[전북 부안] 부안투어패스  : 부안여행 자유이용권,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
23239,[서울 신림] 러브낚시카페 신림본점,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
23276,[전남 여수] 서틀러 다육식물원 관람&체험권,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
23838,[경북 경산]공룡박물관,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
23865,[서울 여의도] 알파휠 여의도점,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
23895,[전북 고창] 고창투어패스 : 4대 관광지 자유입장,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
23918,[서울 여의도] 아이봇 피크닉,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
23973,[경기 일산] 강아지 테마파크,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
24020,[전북 완주] 완주투어패스,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
24172,[경기 화성] 어섬 패러글라이딩,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
24177,[경북 안동] 곤충파충류 체험전,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
24197,[전북 진안] 진안투어패스,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
24198,[전북 진안] 진안투어패스 + 홍삼스파 패키지,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
24255,러브낚시카페,• 문의전화 : 1599-8370 (가자고 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
24389,[서울 여의도] VR스크린사냥&사격장 슈팅버니,• 문의전화 : 1599-8370 (가자고 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
24392,[전북 전주] 에어피닉스 패러글라이딩,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
24399,[서울 왕십리] 그레이트피그미풀 키즈카페,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
24402,홍대 한복남 한복대여,• 문의전화 : 1599-8370 (가자고 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
24403,[전남 여수] 한우드림 동물테마농장,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
24415,[서울 인사동] 놀이똥산 패키지,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
