LSR_GOODS_CD,LSR_GOODS_NM,GOODS_GUID_CN
47540,[충남 부여] 롯데 부여 아쿠아가든,
47541,[경남 창원] 북면온천 스파여행,
47542,[제주 서귀포] 더 플래닛 버디프렌즈,
47543,[경기 용인] 에버랜드 대인+미취학 아동패키지(11/1~12/15),
47544,[경북 경주] 경주월드 10월 커플권★야놀자 단독특가,
47545,[경남 밀양] 삼랑진 트윈터널 테마파크,
47587,[서울 강서] 그랜드아쿠아24 찜질방 야놀자 특가 ★,
47588,[충남] 금강백제권역 투어패스 + 익산 천만송이 국화축제,"역사가 깃든 관광지 20여곳을 한번에!! 대전, 공주, 부여, 익사의 인기 관광지를 제한 시간 내에 자유롭게 입장 할 수 있는 자유이용권형 관광패스!!"
47589,[경기 이천] 미란다 스파플러스 스파&찜질,
47590,[경기 과천] 서울대공원 + 리프트 패키지 (11~12월),
47591,[아산 도고] 파라다이스 스파 도고 로우시즌,
47592,[강원평창] #얼리버드: 19/20 알펜시아 스키 700 시즌권:2차,
47746,[강원 횡성] 19/20 웰리힐리 겨울 시즌 특가 : 3차 올데이 그룹권,겨울이 주목하는 단 하나의 시즌권 !
47747,[경기 파주] 사파리 체험 테마파크,
47748,[경기 일산] 한화 아쿠아플라넷 일산_평일주말권,
47749,[경북 경주] 경주월드 자유이용권 11월,
47752,[강원평창] #동계시즌: 19/20 알펜시아 스키 스페셜시즌권 2차,
47772,[대구 달서] 이월드 자유이용권 11월~12월,365일 환상의 나라 이월드로~!
47794,[충남] 안면도 자유여행 + 꽃지카트장,안면도 인기 관광지 3곳을 한번에!
47795,[강원 횡성] 19/20 웰리힐리 겨울시즌 : 3차 올데이 비기너 싱글권,어디로 겨울여행을 떠나볼까 고민중이라면? 웰리힐리파크로 오세요!  합리적인 가격으로 리프트 타고 하얀 설원 위를 누벼보세요~ 스키 외에 다양한 볼거리와 즐길거리로 가득한 웰리힐리파크! 안오면 후회할껄요~
47797,[강원 횡성] 19/20 웰리힐리 겨울 시즌 특가 : 3차 올데이 싱글권,어디로 겨울여행을 떠나볼까 고민중이라면? 웰리힐리파크로 오세요!  합리적인 가격으로 리프트 타고 하얀 설원 위를 누벼보세요~ 스키 외에 다양한 볼거리와 즐길거리로 가득한 웰리힐리파크! 안오면 후회할껄요~
47798,[서울 삼성]코엑스 아쿠아리움★야놀자 레저데이 단독특가,
47799,[전지점] 세상에서 가장 재미있는 운동 버추얼메이트 전국점,
47910,[부천] 아인스월드 주간 입장권,
47911,[서울 잠실] 롯데월드 TGIF 패키지,
47912,[서울 잠실] 롯데월드 롯데리아패키지 11월,
47913,[경기 고양] 일산 킨텍스 상상체험키즈월드,"대규모 키즈월드로 아이들이 너무 좋아하는 실내 놀이공간입니다. 온 가족이 함께 놀 수 있어, 소중한 추억을 같이 만들 수 있어요. 다양한 놀이시설로 아이들에게 특별한 경험을 선물하세요!"
47916,[서울 잠실] 롯데월드 패밀리이용권_11월,
47917,[인기상품!] 에버랜드 종일권&야간권 초특가,
47918,[경기 고양] 일산 킨텍스 실내썰매키즈월드,"대규모 키즈월드로 아이들이 너무 좋아하는 실내 놀이공간입니다. 온 가족이 함께 놀 수 있어, 소중한 추억을 같이 만들 수 있어요. 다양한 놀이시설로 아이들에게 특별한 경험을 선물하세요!"
47920,[부천] 아인스월드 세계야경 판타지 빛축제 야간 입장권,
47921,[서울 잠실] 롯데월드 매직서클패키지,
47922,[서울 잠실] 롯데월드 종합이용권_11월,
47923,[서울 잠실] 롯데월드 교복 패키지,
47925,[서울 용산]1+1특가★ 라이언치즈볼 어드벤처,
47926,[서울 송파] 롯데월드 어드벤쳐 연간이용권 블루권/그린권,
47927,[경기 과천] 서울랜드 종일/야간 (~12/31),
47928,[강원 정선] 하이원 첫눈스키렌탈샵,
47930,[강원 평창] 알펜시아 오션700,
47931,[대구 달성] 네이처파크 가을시즌 입장권,"전국 최초 교감형 생태 동물원!  동물들과의 만남과 다양한 먹이체험! 네 가지 테마의 생태 환경에 있는 동물들과의 만남과 아이들이 즐길 수 있는 플레이가든, 행복한 추억 만들러 오세요~"
47932,[서울 삼성] 코엑스 아쿠아리움★야놀자 선착순 ★,
47933,[경기 안성] 안성팜랜드 입장권 (~12/26),
47935,[서울 잠실] 롯데월드 VR체험 패키지 11월,
47937,[서울 서초] 락볼링장 템플스트라이크  레저데이특가,끓어오르는 흥을 주체 못할 땐? 템플스트라이크!! 최고시설을 자랑하는 락볼링장에서 스트레스 한 방에 날려버리기!!
47938,[경기 부천] 웅진플레이도시 워터파크&스파 11월,웅진 플레이도시에서 스트레스 팍팍 풀어보자!
47939,[서울 중구] 동대문 라뜰리에 11월,
47940,[강원 속초] 한화리조트 설악 워터피아 종일권,
47941,[경기 부천] 플레이아쿠아리움 입장권 + 아인스월드 주간권,
47942,[경기 부천]아인스월드 야간 빛축제+부천아쿠아리움PKG,
47943,[대구 수성] 아이니테마파크,
47945,[대구 달서] 이월드 83타워 전망대&아이스링크PKG 11월,대구의 랜드마크! 이월드 83타워에서 행복한 추억을 만들어보세요~!
47946,[대구 달서] 이월드 연간회원권 11월,환상의 나라 이월드로 !
47947,[인천 연수] 송도 몬스터VR,
47948,[대전 유성] 티놀자 애니멀파크_11월,
47950,[서울 용산] 포쉬네일 용산전자랜드점,
47951,[경기 부천] 플레이아쿠아리움 + 플랜디키즈카페,
47953,[서울 영등포 ] 포쉬네일 : 네일관리,
47954,[경기 의정부] 포쉬네일 의정부점,
47955,[경기 부천]1+1특가★아인스월드 세계야경 빛축제 야간 입장권,
47956,[창원 상남동] 이스케이프탑 방탈출 창원점 특가 ★,
47957,[울산 남구] 이스케이프탑 방탈출 울산점 ★야놀자 단독특가,
47958,[서울 잠실] 롯데월드 아쿠아리움,
47959,[인천 구월동] 이스케이프탑 방탈출 인천점  ★야놀자 단독특가,
47960,[경기 용인] 실내동물원 하이주 기흥점,
47961,[초특가!] 한정수량★ 알렉산더 칼더전 초특가,
47962,[부산 서면] 이스케이프탑 방탈출 부산점 ★야놀자 단독특가,
47965,[서울 강남] 이스케이프탑 방탈출 강남점 ★야놀자 단독특가,
47966,[수원 인계동] 이스케이프탑 방탈출 수원점  ★야놀자 단독특가,
47967,[대구 동성로] 이스케이프탑 방탈출 대구점 ★특가,
47968,[경기 부천] 부천플레이아쿠아리움+아쿠아캔들 패키지,
47969,[경기 부천]1+1특가★ 플레이아쿠아리움,
47970,[경기 부천] 플레이아쿠아리움 입장권+키즈앤키키즈,
47971,[대구 달성] 네이처파크 종일권 1+1 초특가,"전국 최초 교감형 생태 동물원!  동물들과의 만남과 다양한 먹이체험! 네 가지 테마의 생태 환경에 있는 동물들과의 만남과 아이들이 즐길 수 있는 플레이가든, 행복한 추억 만들러 오세요~"
47972,[부산 서면] 네오스파 서면점,
47973,[대구 달성] 대구숲 대구쥬패키지 11월,"낙타, 라쿤, 붉은여우, 토끼, 거북이, 미어캣, 몽구스, 긴팔원숭이, 프레디독, 가면올빼미, 대형비단뱀 등 4-50여종의 다양한 동물들과 직접 교감해보고 먹이를 줄 수 있는 체험형 생태동물원 대구쥬! 울창한 숲 속 동물원 대구쥬에서 다양한 동물들을 만나보세요!"
47974,[제주 도련] 감귤나무숲 포토존,
47975,[대구 달성] 대구숲 11월 체험패키지,"자연 속에 위치한 체험형 힐링공간, 에코테마파크 대구숲!  도심 속 거대한 숲에서 산책과 휴식을 하며 힐링타임을 가져보세요. 자연의 소리와 아이들 웃음소리, 그리고 맑은 공기와 깨끗한 경관으로 일상 속에서 지친 현대인들을 위한 쉼터가 되어 드립니다. 아이들에게는 자연친화적인 놀이공간, 연인들에게는 낭만적인 데이트장소,  가족들에게는 평화로운 나들이 장소로! 소중한 사람과의 잊지 못할 추억을 에코테마파크 대구숲에서 만들어보세요!"
47976,[제주 제주시] 더힐링타임 족욕체험,
47977,[대구 달성] 대구숲 어드밴처 패키지_11월,"자연 속에 위치한 체험형 힐링공간, 에코테마파크 대구숲! 도심 속 거대한 숲에서 산책과 휴식을 하며 힐링타임을 가져보세요. 자연의 소리와 아이들 웃음소리, 그리고 맑은 공기와 깨끗한 경관으로 일상 속에서 지친 현대인들을 위한 쉼터가 되어 드립니다. 아이들에게는 자연친화적인 놀이공간, 연인들에게는 낭만적인 데이트장소,  가족들에게는 평화로운 나들이 장소로! 소중한 사람과의 잊지 못할 추억을 에코테마파크 대구숲에서 만들어보세요!"
47979,[경북 울진] 덕구온천 스파월드 11월,
47980,[제주 중문] 비바제트보트 ★특가,새하얀 물살을 가르며 달리는 수상 레포츠 !  바다위에서 빠른 스피드로 각종 기술을 구사하며 제트보트를 즐겨보세요. 롤러코스터보다 재미있는 제트보트타러 오세요~
47981,[부산 수영] 아쿠아펠리스 워터파크&사우나,
47982,[강원 춘천] 1+1특가★ 제이드가든,자연 속에 쉼이 있는 '제이드가든'입니다. 세상에서 가장 작은 유럽이라 불리는 곳으로 국내에선 볼 수 없었던 이색적인 풍경을 자아내요. 함께 가보실래요?
47983,[제주 서귀포] 제주 세리월드 감귤체험,
47984,[대구 달성] 네이처파크 낭만PKG,"전국 최초 교감형 생태 동물원!  동물들과의 만남과 다양한 먹이체험! 네 가지 테마의 생태 환경에 있는 동물들과의 만남과 아이들이 즐길 수 있는 플레이가든, 행복한 추억 만들러 오세요~"
47985,[오늘까지만!] 서울랜드 야간파크 특가,
47986,[대구 남구] 봉덕동 홈스파월드 찜질방 + 사우나,
47989,[강원 평창] 휘닉스파크 스노랜드 렌탈&강습_정문앞,"걸어서 약 1분!  픽업도 필요없는 휘닉스 파크 바로 앞 렌탈샵 가까운 거리와 청결한 장비, 의류까지! 휘닉스파크 스노랜드로 오세요~"
47991,[오늘까지만!] 이월드 자유이용권 + 산타모자 증정,365일 환상의 나라 이월드로~!
47992,[강원 정선] 하이원워터월드 첫눈 물놀이용품렌탈샵,
48223,[서울 마포] 셜록홈즈 방탈출 홍대점,
48224,[전주 덕진] 롤러스타 롤러스케이트장,
48225,[경기 이천] 탑레포츠 스키강습+보험★렌탈샵_지산리조트,"지산 리조트 인근 렌탈샵 <탑 레포츠>  렌탈, 강습 번거롭게 따로 예약말고 탑 레포츠에서 한번에 끝내보세요. 특수주문 제작한 장비부터 해외 유명브랜드까지 다양한 렌탈용 장비를 구비하고 있습니다. 대한지도자연맹 소속 강사진들로부터 명품 레슨도 받을 수 있습니다. 안전제일! 강습보험을 도입하여 강습을 받으시는 모든 고객분들은 일일 강습 보험제를 적용 받을 수 있습니다."
48226,[경북 성주] 성주 스파랜드 사계절 힐링,
48227,[단독 초특가!] 딸기가좋아 키즈카페_(4개지점),
48228,[충북 충주] 탄금호 사계절 썰매장,
48230,[광주 양산동] 볼러스레인 광주점,
48231,[전국 6개 지점] 딸기가좋아 키즈카페_12월,
48232,[경남 진주] 미스터힐링 : 힐링카페,나를 위한 힐링타임 나만 알고 싶은 인생카페
48233,[서울 강남] 셜록홈즈 : 방탈출,
48234,[서울 동작] 셜록홈즈 방탈출 노량진점,
48235,[인천 중구] 파라다이스시티 씨메르 드링크PKG,
48237,[서울 잠실] 롯데월드 종합이용권_빼빼로 선착순 1+1,
48238,[인천 중구] 씨메르 아쿠아스파  얼리버드권 12월,
48239,[인천 중구] 씨메르 찜질스파 2시간 무료연장 PKG 11월,
48240,[강원 양양] 오색탄산온천,천연 온천수로 피로회복과 피부미용을 동시에 ~!
48242,[경북 경주] 캠프VR 경주 밀레니엄,
48243,[경기 의정부] 장암 아일랜드캐슬 종일권,"미세먼지 ""끝!"" 의정부 온천 아일랜드 캐슬 지하 900m에서 끌어올린 알칼리성 온천수와 수(水)치료가 가능한 바데풀까지"
48244,[부산 남구] 캠프VR 경성대점,"하루종일 즐겨도 지루할 틈이 없는 가상현실체험! 색다른 이색 데이트 코스로 추천합니다. 실제 전투를 하듯, 직접 레이싱을 하듯 리얼함이 가득해 풍성한 재미를 느낄 수 있답니다.  다양한 테마와 어트랙션이 가득한 곳, 경성대점 캠프VR로 실내데이트 즐기러 오세요!"
48247,[제주 서귀포시] 윈드1947카트+감귤체험,
48248,[경기 고양] 자연에 스파&찜질방,
48249,[부산 중구] 캠프VR : VR체험,"하루종일 즐겨도 지루할 틈이 없는 가상현실체험! 색다른 이색 데이트 코스로 추천합니다. 실제 전투를 하듯, 직접 레이싱을 하듯 리얼함이 가득해 풍성한 재미를 느낄 수 있답니다.  다양한 테마와 어트랙션이 가득한 곳, 경성대점 캠프VR로 실내데이트 즐기러 오세요!"
48250,[경기 남양주] 라파르코 키즈카페,
48253,[전북 전주] 인스타 찜질방&사우나,
48254,[대구 달서] 이월드 83타워 무슈샤 전시회,
48256,[대구 중구] 캠프VR 대구 동성로점,
48257,[광주 서구] 캠프VR 광주상무점,
48258,[서울 노원] 캠프VR : VR체험,
48259,[대전 중구] 오월드 자유이용권  특가,도심 속 자연이 살아있는 또하나의 세상 오월드!
48260,[인천 송도] 아이앤주 실내동물원,
48261,[전남 나주] 점핑고플러스 키즈카페,
48262,[광주 동구] 캠프VR 광주충장로점,
48263,[경북 청도] 청도 와인터널 ★특가 패키지,
48264,[경기 구리] 캠프VR 구리점,
48266,"[부산 해운대] 뮤지엄 DAH 완전한 세상, Maximalia",
48267,[경기 부천] 캠프VR 부천점,
48268,[대전 동구] 캠퍼VR 대전복합터미널점,
48270,[경기 광명] 캠프VR 광명철산점,
48272,[부산 영도구] 산복도로패스 영도구편,
48273,[전국 7개 지점] 이스케이프탑 방탈출 특가,
48274,[서울 송파] 파크하비오 워터킹덤 종일/오후 ★특가 (11/9~11/10 ),
48275,[서울 은평] 롯데월드 언더씨킹덤_11월,
48276,[서울 강남] 캠프VR 강남점,
48277,[대구 동구] 토이빌리지 혁신점,
48278,[강원 춘천] 제이드가든 레저데이,자연 속에 쉼이 있는 '제이드가든'입니다. 세상에서 가장 작은 유럽이라 불리는 곳으로 국내에선 볼 수 없었던 이색적인 풍경을 자아내요. 함께 가보실래요?
48279,[부산 해운대] 부산아쿠아리움 1인권 특가,
48280,[정선] 하이원 눈의나라 렌탈샵,구매고객 리프트권 40%~60% 대박할인
48281,[서울 강남] 동반할인!일요일에 필라테스 하자!!(예약 가능),"안녕하세요 ^^ 강남구청역 2번 출구 앞에 위치한 기구 필라테스 전문 스튜디오 G YOU pilates&gyrotonic 입니다~ 주말에 운동 문의가 많더라구요. 그래서 회원님들을 위해 준비했습니다 ^^!!! [이런 분들에게 추천합니다!] 강남에 데이트 할 때 운동할 곳을 찾으셨나요? 친구와 건강하게 운동하고 싶은데 기구 필라테스 할 곳을 찾으셨나요? 자이로토닉 체험을 해보고 싶은데 체험할 곳을 찾고 계시나요? 나의 자세 및 필라테스로 교정운동을 체험해 보고 싶으시나요? 일요일 레슨은 원장 직강입니다 ^^ 일요일은 12시~6시까지 운영합니다. * 원활한 예약을 위해 목요일까지 예약 가능합니다. 최소 목요일까지 예약해야 일요일 수업 가능!!! [호스트 소개] 필라테스 경력 10년차 MASTER. JIYU SHIN 조선대학교 체육대학(운동과학)졸업 호주 Modern pilates International Certification of Instructor 독일 GYROTONIC ® Level 1 Certificate 미국 Corealign Level 1(Balanced body) 미국 Orbit workshop course(Balanced body) 미국 Motr ® workshop course(Balanced body) 미국 Bodhi leadership course(Balanced body) 캐나다 total barre workshop course(sttot pilates) 호주 Therapeutic Modern pilates workshop(Modern pilates) 호주 Pregnancy&Postnatal workshop(Modern pilates) 호주 Scolio pilates workshop(Modern pilates) 호주 Golf connetion program workshop(Modern pilates) Ballet pilates workshop Manual exercise certificate 태권도 공인 2단 요가 3급 웃음치료사 1급 레크레이션 지도자 1급 리더쉽 지도자 1급 Ocan Diver BSAC 강사 스포츠 마사지 1급 3급 생활 체육 지도자(보디빌딩) 카이로프랙틱 전문가 과정 마디사랑요가원 Yoga Instructor 센트리얼 휘트니스(강남본점) Pilates Instrutor 센트리얼 필라테스 (이수점) Senior Pilates Instructor 스포월드(역삼점) Pilates Instructor Bonpilates International Pilates Instrucor (캐나다 국제필라테스강사) 현) G YOU PILATES & GYROTONIC® Director 기업 회장님, 미스코리아, 프로 골퍼 다수 지도 [PILATES] 1차 세계 대전 중  침상에 누워있는 부상병들의 재활을 위해  조셉 필라테스가 고안한 운동법입니다.  필라테스 프로그램은 신체의 밸런스를 유지하고,  척추를 지탱하는 코어 근육 단력에 중점을 두고 있습니다.  과학적으로 디자인 된 각각의 동작은  신체 밸런스를 개선하여 아름다운 몸매로 만들고  최상의 결과를 이끌어 내도록 합니다. [신체적 효과]  •자세교정 및 경추와 척추의 디스크 증상 완화 •몸매관리 및 탄력강화 •밸런스 증가 및 관절의 강화 •근력향상 및 유연성 증가 •근육의 통장감소 상해예방 •스트레스 완화 •청소년기의 성장 발육 증대 [정신적 효과] •스트레스 완화 •몸에 대한 자각력 증진 자이로토닉® 시스템(GYROTONIC SYSTEM®)은  헝가리 태생의 루마니아인 줄리오 호바스(Juliu Hovath)에 의해 창시 되었습니다. 인체 공항적으로 그 우수성을 인정 받아 미국 우주비행사의 척추강화 운동으로도 활용되고 있는 운동입니다. 이 시스템은 신체의 주요 근육들을 전반적으로 사용하여  ""원형 (Circularity), 나선형(Spiraling), 파동형(Undulating)등의  자연스러운 동작과 이에 맞는 호흡법으로  척추의 기능 향상과 근육의 지각능력을 발달시키는데 그 목적을 둡니다. “유연성 + 척추교정 +근력운동” 올바른 근육의 메커니즘을 통하여 몸의 속을 채우고 고유의 호흡 패턴을 통해 건강한 몸과 마음뿐만 아니라 건강한 삶의 질의 향상을 구축하는데 목표를 하고 있습니다. 주말에는 나를 몸과 마음을 채우는 시간을 가져보세요. 월요일에 조금 더 나은 나로 시작할 수 있을거에요^^ [클래스 안내]· 프립 진행 가능 시간 : 상시 예약 가능(최소 하루 전날까지 문의 부탁드립니다.)· 문의 : Q&A 게시판 활용※ 정확한 일정 협의는 Q&A 게시판 또는 구매 후 문자로 발송되는 호스트 연락처로 문의해주세요.[신청 시 유의사항]· 구매 시 호스트 연락처를 문자로 보내드립니다.· 프립에서 구매 후 업체에 전화로 가능한 날짜 예약 바랍니다.· 예약 확정 시 호스트가 출석체크를 진행합니다.· 예약 시간에 맞추어 늦지 않게 도착해 주시기 바랍니다.· 원활한 수업 예약을 위하여 수업이 시작하는 주의 수요일까지 예약 바랍니다."
48283,[서울 강남] 동반할인! 시나몬 캔들 만들기 석고 방향제 세트,"[ 동반 할인 이벤트 ]  2인권 구매 시 20% 할인된 금액으로 구매하실 수 있습니다. 가족 OR 친구 OR 연인과 함께 해 보시는 것은 어떨까요? ㅡ 안녕하세요  강남구 논현동에 위치한 센트오브블루밍입니다. 센트오브블루밍은  캔들, 디퓨저, 석고 방향제 만들기를 하는  한국양초공예협회 지도사범 정식교육기관입니다. 시나몬 캔들 만들기는  천연 소이 왁스와 프리미엄 프래그런스 오일을  사용하여 고급 천연 캔들 한 개를 만드시고, 석고 방향제 한 개를 갖고 가시는 수업입니다. 향과 색상 그리고 위에 장식은  수강생님께서 자유롭게 선택하여 작업해 주시면 됩니다.  석고 방향제의 디자인과 향은  공방에서 준비하여 드리며 랜덤입니다. 향기롭고 예쁜 디자인으로  준비해드리겠습니다^^ 만드시는 분에 따라 소요되는 시간이 다르므로  넉넉히 시간을 잡고 오시는 게 좋구요, 미리 색상 등 만드실 캔들을 구상하여  오시면 수업에 많은 도움이 됩니다. 커피와 간단한 간식도 준비되어 있으니  캔들이 굳는 동안 드시며 함께 담소도 나누어요~ [이런 점이 좋아요] - 원하는 색상, 여러 색의 조합을 선택해서  나만의 시나몬 캔들을 만들 수 있어요. - 소수정예 수업으로 초보자분도 쉽게  만드실 수 있게 꼼꼼하게 티칭해 드려요. 처음이시더라도 걱정하지 마시구 편하게 오세요^^ [이런 분들께 추천해드려요] - 지친 일상에 힐링하고 싶으신 분 - 직접 만든 캔들로 집에 예쁘게  인테리어 장식을 하고 싶으신 분 - 소중한 사람에게 선물하고 싶으신 분 모두 센트오브블루밍에서 캔들 같이 만들어가요! 아기자기 귀여운 석고 방향제는  캔들이 굳는 동안 심심하실 수강생님을 위해  시나몬 캔들에 세트로 준비해보았습니다 캔들 만드는 과정은  아래와 같이 진행될 예정이에요. 1. 캔들을 만드는 왁스에 대한 간단한 설명 2. 향료와 염료 선택 3. 녹인 왁스 붓기 4. 시나몬 장식하기 5. 캔들이 굳는 동안 석고 방향제 채색 6. 티 타임 및 포토 타임 7. 포장하기 [이렇게 포장해 가실 수 있어요] 캔들이 완성되면  예쁘게 포장해 가실 수 있어요. 만드신 후 포토타임과 포장까지  무료로 해드리고 있는대요 혹 캔들이 굳을 때까지  기다리는 시간이 넉넉하지 못하신 분은  배송료를 지불해 주시면 굳은 뒤  택배로 발송해 드리고 있습니다. [이곳에서 진행돼요] 강남구 논현동에 위치해 있는 캔들 공방입니다. 언주역 2번 출구로 나오시면  도보로 7분 거리에 있구요 신논현역 3번 출구로 나오시면  도보로 9분 거리에 있습니다. 공방 근처에 무료 주차도 가능하세요~ 센트오브블루밍은 블루밍부케와  같은 공방을 사용하고 있습니다. 수업 종료 후에도 지속적인 피드백으로  혼자서도 멋진 작품을 완성하실 수 있게 도와드립니다. 센트오브블루밍과 향기 있는 삶  함께 하세요~ [클래스 안내] · 프립 진행 가능 시간 : 상시 예약 가능 ※ 정확한 일정 협의는 구매 후 문자로 발송되는 호스트 연락처로 문의해주세요. [신청 시 유의사항] · 구매 시 호스트 연락처를 문자로 보내드립니다. · 프립에서 구매 후 업체에 전화로 가능한 날짜 예약 바랍니다. · 예약 확정 시 호스트가 출석체크를 진행합니다. · 예약 시간에 맞추어 늦지 않게 도착해 주시기 바랍니다."
48284,[서울 마포] 동반할인! 파운드 케이크 2종 만들기,"지아네 요리 공작소 입니다.  이번 클래스는 파운드 케이크 2종 베이킹 클래스 입니다. 플레인 / 호두 / 초코칩 / 얼그레이 / 녹차 / 초코 中  2가지 선택 해 주세요 : )  녹차 & 초코 조합이 ""초코 나무 숲""으로  베스트 입니다!  [클래스 안내]· 프립 진행 가능 시간 - 월요일 : 휴무- 화 : 10:00 / 12:00 / 14:00- 수, 목, 금 : 10:00 / 12:00 / 14:00 / 17:00 / 19:00- 토 : 12:00 / 14:00 / 16:00 / 18:00 (4타임)- 일 : 10:00 / 12:00 / 14:00 / 16:00 (4타임)※ 빈 시간 없이 수업을 진행하기 때문에 이외의 시간은 평일 / 주말 시간대를 구분하여 알려주시면 예약 더 쉽게 도와드릴게요^^ ※ 정확한 일정 협의는 구매 후 문자로 발송되는 호스트 연락처로 문의해주세요.* 평일 / 주말 시간대를 구분하여 알려주시면 예약 더 쉽게 도와드리겠습니다.* 주말은 보통 2주전에 마감되어 주말 당일예약은 어려울수 있습니다.  ※ 정확한 일정 협의는 구매 후 문자로 발송되는 호스트 연락처로 문의해주세요.  [신청 시 유의사항] · 구매 시 호스트 연락처를 문자로 보내드립니다. · 프립에서 구매 후 업체에 전화로 가능한 날짜 예약 바랍니다. · 예약 확정 시 호스트가 출석체크를 진행합니다. · 예약 시간에 맞추어 늦지 않게 도착해 주시기 바랍니다. · 오븐 앞에서 베이킹을 하기 때문에 주의하시기 바랍니다. · 수업 3일 전 시간변경 및 취소 불가합니다. · 수업 시간 10분전 입실가능합니다. · 한 타임당 최대 4명 수업으로 시간 엄수 부탁드립니다. · 다인권의 경우 할인이 들어가기때문에 부분 환불이 불가능합니다. 신중하게 구매해 주세요."
48285,[서울 송파] 동반할인! 반려동물 그리기 원데이 클래스,"[ 동반 할인 이벤트 ]  2인권 구매 시 10% 할인된 금액으로 구매하실 수 있습니다. 가족 OR 친구 OR 연인과 함께 해 보시는 것은 어떨까요? ㅡ 나의 아이를 내 손으로  직-접 그려보는 의미 있는 시간. 반려동물 그리기 원데이 클래스 입니다 :) 강아지, 고양이 뿐만 아니라 새, 소 동물 등  어떤 아이라도 가능합니다! 김소울 작가님은  9살 잭슨이, 7살 탈리 두 고양이의 집사랍니다 :) 대학 졸업 후 고양이를 만나면서  동물 그림이라는 새로운 장르에 눈을 뜨게 됐어요! 그래서 작품 활동도 계속하고 있고,  또 반려인들로부터 그림을 주문받아서  그리기도 한답니다. 이렇게 개인이 주문한 작품을  제작을 하기도 하고요, 원하는 작품세계를 표현하기도 한답니다. 매거진 C 등 동물 관련 저널에서도  자주 다룬 동물 화가예요!  반려묘 잭슨이가 여기 보이네요! 김소울 작가님은 이렇게 생각했어요. '내가 내 아이를 그리는 것이  이렇게 즐거운 경험이라는 것을  다른 사람에게도 알려주고 싶다!  화가에게  그림을 주문해서 제작하는 것도  큰 기쁨이지만,  내 손으로 직접 그린다면  얼마나 의미 있고 즐거울까?' 그런데, 그림을 처음부터 배워서 그리기에 는 너무나 많은 시간과 비용이 들 수밖에요. 그래서, 또 생각했죠 미리 사진을 받아서 스케치를 준비해 드리고,  스케치부터 시작하면  초보자도 충분히 그릴 수 있겠다고요! 이곳은 왕왕 초보자들도  다들 재밌게 참여하실 수 있어요!  왜냐면 이렇게 멋진 스케치가  미리 준비되어 있으니까요! 난생처음 그림을 그리신다는 대원님께서도  이렇게 멋지게 아이의 그림을 완성했어요. 어디를 어떻게 색이 들어가야 하는지,  어떤 연필을 사용해야 하는지,  아이의 특징을 살리려면 어디를 집중해야 하는지..! 똥손도 작품을 만드는 마법의 공간입니다^^ 다 그린 후,  이렇게 픽사티브를 뿌려서  연필이 번지지 않도록 합니다!! 우리 수업의 재료는 소묘예요.  아이의 눈 색 등에 색을 원하시는 분들께는  색연필로 색을 살짝 입혀드려요^^ [ 이런 분들께 추천드려요! ] - 아이의 모습을 내 손으로 남기고 싶으신 분 - 무지개다리를 건넌 아이를 그림으로 남기고 싶으신 분 - 소중한 사람에게 아이의 그림을 선물해 주고 싶으신 분 - 랜선 집사이지만 귀여운 동물을 그려보고 싶으신 분 - 그 외에 동물과 그림을 사랑하는 모든 분 [ 진행 선생님 소개]  김소울 - 2019년 정부청사 갤러리 <10>을 포함한  4회의 개인전, 단체전 다수 참여 - 홍익대학교 미술대학 졸업 - 매거진 C, KBS, SBS를 포함한  10개 이상의 매체에 동물 작가로 소개 [ 이곳에서 진행돼요! ] 송파구 방이동 먹자골목이 한눈에 보이는  21층의 전경을 보며 그림도 그리고 힐링도 얻어가세요! 21층의 공방에서 보이는 송파구 전경 다음은 그림을 처음 그려보신다는  대원님들께서 직접 그날 그려가신 그림들이에요! 각자 개성 있는 사인까지~~~  바로 작가 데뷔해야겠죠?^^ 이곳에 오셔서  소중하고 멋진 시간과 추억을 만들어 가세요!! [클래스 안내] · 프립 진행 가능 시간  - 일요일 : 11:00~13:00 ※ 정확한 일정 협의는 구매 후 문자로 발송되는 호스트 연락처로 문의해주세요. [신청 시 유의사항] · 구매 시 호스트 연락처를 문자로 보내드립니다. · 프립에서 구매 후 업체에 전화로 가능한 날짜 예약 바랍니다. · 예약 확정 시 호스트가 출석체크를 진행합니다. · 예약 시간에 맞추어 늦지 않게 도착해 주시기 바랍니다. · 수업 전에 아이의 사진을 미리 꼭 보내주셔야 합니다 · 픽사티브로 그림이 번지지 않게 뿌려드리고, 투명 파일에 넣어 드립니다. · 사진을 고화질로 스캔하여 sns 등에 사용될 수 있게 전송해 드려요"
