LSR_GOODS_CD,LSR_GOODS_NM,GOODS_GUID_CN
11651,[강원 평창] 조나단 패러글라이딩,"두려움은 찰나, 벅차오르는 감동은 평생  매일 똑같은 일상을 벗어나 빠르게 발을 구르다 떼면 펼쳐지는 맑고 푸른 풍경. 지쳐있던 일상에 특별한 선물을 줄 수 있습니다. 평창에서 든든한 강사님과 안전하게 하늘의 아름다움을 맛보세요. 체험을 다 끝낸 후 체험 인증서도 수여받으실 수 있습니다."
12700,[서울 상왕십리] 그 아저씨 도예공방 : 핸드페인팅 & 핸드빌딩,"애정 가득 나만의 도자기 만들기  전문 공예방으로 철저한 재료들과 초보자도 쉽게 도자기 공예를 즐길 수 있는 도자기 전문 강사진이 함께 수업을 진행합니다. 그릇 위 그림을 그리는 핸드페인팅, 그릇을 직접 만드는 핸드 빌딩 체험이 가능합니다. 자신만의 개성 있는 도자기를 만들어 보세요."
12834,[강촌/가평] 레저클럽 ATV/카트/스쿠터/수상레저 패키지,
12962,[서울 여의도] 한강 전동 퀵보드/다타코리아 대여,"은근히 짜릿한 속도감! 한강 라이딩족이 늘어나는 이유! 여의도 한강 전동 킥보드/ 아이봇 대여  1. 물건보관 소지품을 보관할 수 있는 보관함 완비 2. 보호장구 착용 안전을 위한 헬멧, 무릎&팔목보호대 착용 3. 데스크 접수 보호장비 착용 후 데스크에서 대여접수 4. 상품선택 타고 싶은 전동휠/전동 킥보드 고르기 5. 교육 후 라이딩 이용설명을 들은 뒤 즐기면 끝!  바람을 가르는 스피드가 그야말로 굿! 즐거운 여의도 한강 전동킥보드~ 어서 체험하러 오세요!"
12975,[전북 부안] 원숭이학교 & 자연사박물관,"익살스러운 원숭이 공연과 희귀 화석 보러 오세요! 부안 원숭이 학교 & 자연사 박물관  원숭이학교 문화관광부 지정 전라북도 제4호  전문박물관으로 등록된 특화 테마파크  자연사박물관 희귀하고 진귀한 화석 및 광물 등을  통해 자연사와 인류의 진화과정을 쉽게  이해할 수 있는 전시공간  원숭이 공연 개성만점 원숭이 학생들의  학교생활을 그려낸 공연 프로그램  오직 부안 원숭이 학교에만 있는 다양한 프로그램과 공연들, 자연사박물관까지! 지금 오셔서 신나는 체험 하고 가세요~~"
13003,[전북 전주] 프리미엄 동물카페 우쮸쮸,"동물도감이 따로 필요 없어요! 체험형 실내동물원 프리미엄 동물카페 우쮸쮸  동물도감에서만 보아왔던 희귀동물들을 직접 보고 만져볼 수 있는 체험형 동물카페에요 입장권을 구매해주시는 모든 분께 음료를 서비스로 제공해드려요  파충류, 포유류, 양서류, 조류, 곤충 등 다양한 동물 친구들이 있어요 동물 친구들을 쓰다듬어보고 직접 만져볼 수 있는 체험 활동도 있어요!  호기심 많은 우리 아이들에게 동화책 속에서 그림으로만 만나봤던 다양한 동물친구들을 직접 소개해주세요~"
13395,[서울 홍대] 심신프리카페 : 마사지,"공기 좋은 카페에서 토닥토닥 안마받고 가세요 신개념 힐링 심신프리카페  바쁜 일상을 벗어나 즐기는 휴식! 전신 마사지 기기에서 피로를 확 풀어봐요  청정공기를 재현해 쾌적한 산소테라피& 피로 회복의 끝판왕 허브 온열 찜질까지 준비되어있어요  심신프리카페 이용 시 음료 및 세계과자는 서비스~ 카페에서 만나보세요!  최고급 안마기기와 아늑한 공간의 조화 2인석에서 친구, 연인과 함께 즐길 수 있어요 전신 순환에 탁월한 최고급 전신 마사지 기기에서 힐링 타임 가지세요~"
13400,[경기 화성] 애니랜드 : 조류 & 체험동물원,"자연 친화적 체험학습! 화성 애니랜드!  화성 애니랜드는  조류/야외 동물원이 결합된 공간 먹는 새둥지 만들기 등 체험 거리 다수 직접 만지고 먹이주는 교감형 교육  동물원을 산책하면서 동물들과 서로 교감할 수 있는 체험을 합니다 조류와 초식동물들에게 직접 먹이를 주면서 아이들의 정서 발달에 도움을 줍니다 아이들이 직접 타면서 조랑말과 교감할 수 있습니다 먹는 새둥지를 직접 만들어 보면서 자연 생태계를 생각하게 됩니다  관람을 넘어 직접 만지며 교감할 수 있는 곳으로 아이들에게 인기 만점인 조류동물원, 아이들이 좋아하는 조랑말을 직접 타볼 수 있는 조랑말 타기 체험 등 여러 가지 체험프로그램이 준비되어있는 화성 애니랜드로 오세요~"
13507,[경기 김포] 김포 곤충농장,"손으로 직접 접해보는 생태체험 테마파크 살아있는 자연 교육장 김포 곤충농장  소풍을 즐기듯 희귀곤충, 동물과 교감하기!  수도권 인근 가족 나들이 코스로 딱! 김포 곤충농장 서울 도심에서 쉽게 찾아올 수 있어 주말 나들이로 최고랍니다  인솔교사의 자세한 설명을 들으며 눈으로 보고 손으로 접해보는 능동적인 체험 프로그램 생태체험관, 미꾸라지 관찰 등 다양한 생태에서 살아가는 희귀곤충과 동물 만나기  동물과 눈을 맞춰 가까이서 관찰하고 먹이를 주는 경험,  곤충들의 환경과 일생에 대해 학습할 수 있는 유익한 공간  김포 곤충농장에서 아이들에게 즐거운 주말을 선물해보세요~!"
13936,[충남 대천] 짚트랙,
13957,[인천 남동] 그레이트피그미풀 키즈파크,아이는 원 없이 놀아야죠! 시간 제한 없이 즐기세요~   인천 그레이트피그미풀 키즈파크는?  깨끗한 놀이공간 놀이 체험 존만 가득 찬 곳이 아니에요 마음껏 뛰어 놀 수 있는 공간도 준비하였답니다  무제한 이용시간 아이들은 원 없이 놀아야 된다는 사장님의 철학! 시간 제한 없이 마음껏 놀 수 있어요  온 가족 힐링공간 여유로운 공간은 물론 안마의자까지! 온 가족을 위한 복합 테마공간을 만나보세요  아이들 뿐 아니라 엄마들 사이에서도 인기만점!  인천 그레이트 피그미풀로 오세요~!
