LSR_GOODS_CD,LSR_GOODS_NM,LSR_MAIN_THUMB_URL,LSR_DETAIL_IMAGE_URL
11516,[충북 단양]패러마을 패러글라이딩,https://image6.yanolja.com/leisure/oFLjKeffXfwlJf4A,"[https://image6.yanolja.com/leisure/Hzd5iZwSCcitUkYT, https://image6.yanolja.com/leisure/8jbkdhGeyjDMCMdW, https://image6.yanolja.com/leisure/MOnNboKcNk8MtZt5, https://image6.yanolja.com/leisure/16q7ksn5lKmdYs2J, https://image6.yanolja.com/leisure/oFLjKeffXfwlJf4A, https://image6.yanolja.com/leisure/uJQ7dyiLaZjY2siB, https://image6.yanolja.com/leisure/PtAHrNUROwE8MNjO, https://image6.yanolja.com/leisure/LiAhqqDEfNNklk4G, https://image6.yanolja.com/leisure/m273YUAjBzaglz4E]"
11528,[서울 동대문] 한복 웨딩카페,https://image6.yanolja.com/leisure/izf7XPxw8nG2oKR6,"[https://image6.yanolja.com/leisure/gMuSz4rEiva3X52n, https://image6.yanolja.com/leisure/FG1MAR1ZdJZySBqP, https://image6.yanolja.com/leisure/QfY2Aehc3LJNl763, https://image6.yanolja.com/leisure/eXctYiwVn82nA8SR, https://image6.yanolja.com/leisure/Ex1gQxfbRFJsDHPy, https://image6.yanolja.com/leisure/ZM7sUcYhgYblAGbu, https://image6.yanolja.com/leisure/eaysKfGi4xNnT7by]"
11542,[강원 강릉] 환희 컵 : 이색박물관,https://image6.yanolja.com/leisure/8WWZwF4iZHvWgf3J,"[https://image6.yanolja.com/leisure/t5sL3iTRunOszrbC, https://image6.yanolja.com/leisure/N1BKW8Z5cTEkSIT0, https://image6.yanolja.com/leisure/djzS0m90KGKRJ4Xj, https://image6.yanolja.com/leisure/DcMNqY7tYf035Nng, https://image6.yanolja.com/leisure/8WWZwF4iZHvWgf3J]"
11651,[강원 평창] 조나단 패러글라이딩,https://image6.yanolja.com/leisure/4XofYuyBYoKjyAj0,"[https://image6.yanolja.com/leisure/gYC2hzaR2YK6ab7A, https://image6.yanolja.com/leisure/ITCJkfUfYiD5qCuG, https://image6.yanolja.com/leisure/JAmjgCnCTyp4Gn7a, https://image6.yanolja.com/leisure/JWmpdKIGl3yddRzK, https://image6.yanolja.com/leisure/84461xdsjbib5lwf]"
12700,[서울 상왕십리] 그 아저씨 도예공방 : 핸드페인팅 & 핸드빌딩,https://image6.yanolja.com/leisure/blu25BeQZclBYRvE,"[https://image6.yanolja.com/leisure/7ZG4mRi5Vxt4b4gj, https://image6.yanolja.com/leisure/25qlSdHchFjkwHN2, https://image6.yanolja.com/leisure/ynLsGX93nSV2hpIo, https://image6.yanolja.com/leisure/2fVcA4AZNN1OQCoE, https://image6.yanolja.com/leisure/Fp0IfmOzoEv3rVhY, https://image6.yanolja.com/leisure/GI8BXJlzMdwnYz6o]"
12834,[강촌/가평] 레저클럽 ATV/카트/스쿠터/수상레저 패키지,https://image6.yanolja.com/leisure/pHPBswF925E41eQG,"[https://image6.yanolja.com/leisure/pHPBswF925E41eQG, https://image6.yanolja.com/leisure/lQHvvntkqzH7rOXi, https://image6.yanolja.com/leisure/UWDmx5wB8ay7q7jD, https://image6.yanolja.com/leisure/c9YN0Bm4ouKYJHZJ, https://image6.yanolja.com/leisure/P0ConSdr2FkEZzZ4, https://image6.yanolja.com/leisure/RIf3eLXCC7nEeCkR, https://image6.yanolja.com/leisure/ePEAvKYar9f0qsWL, https://image6.yanolja.com/leisure/SXB5hfi4AdmlMfhZ]"
12962,[서울 여의도] 한강 전동 퀵보드/다타코리아 대여,https://image6.yanolja.com/leisure/ikiwtujWf3cyxHr5,"[https://image6.yanolja.com/leisure/zHlhvVlFcKfj5bIU, https://image6.yanolja.com/leisure/b7znb41cuzWMFGEk, https://image6.yanolja.com/leisure/10zF1nw25w2zwXdd, https://image6.yanolja.com/leisure/myJzr6j9s5fMsTJ0, https://image6.yanolja.com/leisure/L1SvaoDEpucv30NS, https://image6.yanolja.com/leisure/alDKMmt4kNs4VpXF, https://image6.yanolja.com/leisure/Re9q3LhYfvIjBzRZ]"
12975,[전북 부안] 원숭이학교 & 자연사박물관,https://image6.yanolja.com/leisure/Il83hW8NUBEroSb5,"[https://image6.yanolja.com/leisure/HI5Y834W2eA8yOcZ, https://image6.yanolja.com/leisure/WrRkRyOOrg5jbtEd, https://image6.yanolja.com/leisure/Mst3cPVzbVj0Seis, https://image6.yanolja.com/leisure/ZRWoFr9rsNRZWWo9, https://image6.yanolja.com/leisure/4TOv0Ig5SP6pQS69]"
13003,[전북 전주] 프리미엄 동물카페 우쮸쮸,https://image6.yanolja.com/leisure/CEFRvXLyYKfmPuxN,"[https://image6.yanolja.com/leisure/ztesJJXellEK5OSF, https://image6.yanolja.com/leisure/nRqOGw2JUyc7sSr2, https://image6.yanolja.com/leisure/zT6iri4GoRTW5XeY, https://image6.yanolja.com/leisure/CEFRvXLyYKfmPuxN, https://image6.yanolja.com/leisure/xZiLplFI1p8V9Dmb, https://image6.yanolja.com/leisure/ntShbDQTfTreSzkr]"
13395,[서울 홍대] 심신프리카페 : 마사지,https://image6.yanolja.com/leisure/msL5AbFmLyRnWlyz,"[https://image6.yanolja.com/leisure/E2kLjTyUkIcf5va1, https://image6.yanolja.com/leisure/WXbADZiNV9C8TeQU, https://image6.yanolja.com/leisure/A62dUdUPXrOVm8K7, https://image6.yanolja.com/leisure/W08CcAUdLUXYHEns, https://image6.yanolja.com/leisure/3z7Wish3QnUJYV4x, https://image6.yanolja.com/leisure/YwWib9eySGfOzrhI]"
13400,[경기 화성] 애니랜드 : 조류 & 체험동물원,https://image6.yanolja.com/leisure/2SHjAhUKuq7TK9qi,"[https://image6.yanolja.com/leisure/KJa2JaS1FVPTa9DP, https://image6.yanolja.com/leisure/A7Gsk6RmnM6R48DR, https://image6.yanolja.com/leisure/mTrLNLp1DH6t8z9G, https://image6.yanolja.com/leisure/OtT3rMh9IwKFcxRs]"
