LSR_GOODS_CD,LSR_GOODS_NM,FCLTY_ROAD_NM_ADDR
25,[서울 홍대] 러브뮤지엄 : 이색전시회,서울 마포구 홍익로3길 20
31,[전북 전주] 플라이코리아 패러글라이딩,전라북도 완주군 구이면 덕평로 171
42,마라도 잠수함,제주특별자치도 제주시 애월읍 구엄리 609-1
43,마린 선상낚시,제주 서귀포시 성산읍 성산등용로 112-7
46,산방산 유람선,제주특별자치도 서귀포시 안덕면 화순리 636-17
47,생각하는 정원,제주 제주시 한경면 녹차분재로 675 생각하는정원
48,하늘여행 행글라이더,제주 서귀포시 안덕면 중산간서로 1877
50,월드제트보트,제주 서귀포시 성산읍 성산등용로 112-7
51,서귀포 유람선,제주특별자치도 서귀포시 서홍동 707-5
53,서귀포 잠수함,제주특별자치도 서귀포시 서홍동 707-5
54,엘리펀시아,제주특별자치도 제주시 노형동 156-6
55,성산포 유람선,제주 서귀포시 성산읍 성산등용로 112-7
83,코코몽 에코파크,제주 서귀포시 남원읍 태위로 536 제주코코몽에코파크
84,테디베어 사파리,제주 제주시 애월읍 소길리
85,여미지 식물원,제주 서귀포시 중문관광로 93
86,박물관은 살아있다,제주 서귀포시 중문관광로 93
87,[제주 구좌] 제주 레일바이크,제주 제주시 구좌읍 용눈이오름로 641
89,제주 민속촌,제주 서귀포시 표선면 민속해안로 631-34
90,러브랜드,제주 제주시 1100로 2894-72 제주러브랜드
91,선녀와 나무꾼 테마공원,제주 제주시 조천읍 선교로 267
92,세계자동차 박물관,제주 서귀포시 안덕면 중산간서로 1610 세계자동차 제주박물관
96,공룡랜드 & 앵무새사파리,제주 제주시 애월읍 광령평화2길 1
97,테디베어 뮤지엄,제주 서귀포시 중문관광로110번길 31
98,더마파크 카트,제주 제주시 한림읍 월림7길 155 더마파크
99,더마파크 기마공연,제주 제주시 한림읍 월림7길 155 더마파크
100,휴애리 자연생활공원,제주 서귀포시 남원읍 신례동로 256
101,한림공원,제주특별자치도 제주시 한림읍 협재리 2487
105,퍼시픽랜드 공연,제주 서귀포시 중문관광로 154-17 르방블랑제
108,[경기 여주] 쎈토이 뮤지엄 입장권(키덜트),경기 여주시 명품1로 42-9
124,[서울 종로] 리브레 : 수제비누 & 향초 만들기 체험,서울 종로구 인사동길 44
140,[경기 시흥] 창조자연사 박물관 입장권,경기도 시흥시 신천동 184-1
141,[충북 단양] 클레이사격,충북 단양군 단양읍 노동장현로 207-17
142,[제주 한림] 더마파크 단거리 체험 승마,
