LSR_GOODS_CD,LSR_GOODS_NM
32348,[남이섬] 가평 가평탑랜드 번지점프
32349,[부산 북구] 화명수상레저 ★여름특가
32371,[충북] 힐링투어패스 + 제천짚트랙
32373,[경기 가평] 워터플레이 수상레저 : ★ 1000매 한정 특가
32383,[충북] 힐링투어패스 + 단양 패러마을 패러글라이딩
32388,[충남 태안] 안면도 익사이팅 레포츠 체험
32409,[경기 가평] 미친 수상레저
32418,[충남 태안] 신두리레포츠 ATV
32434,[경기 파주] 헤이리 예술아 노올자
32435,[강원 영월] 동강 OK래프팅
32481,[서울 강남] VR존 : 가로수길 본점
32482,[경기 일산] VR존 : 일산웨돔점
32483,[부산 중구] VR존 : 부산 엘큐브 광복점
32484,[대전 중구] VR존: 대전점
32485,[서울 강남] VR존 : 강남점
32520,[경기 가평] 썸머드림 수상레저
32534,[서울 잠실] 레전드 히어로즈 : 테마파크
32536,[서울 명동] 레전드 히어로즈 : 명동점
32539,[부산 송정] 멜로우 서프
32541,[전북 군산] 교복은여기서 + 군산투어패스
32567,[서울 서초] 샤갈 러브 앤 라이프
32570,[경기 가평] 르푸앙 수상레저
32579,[경기 가평] 무한도전 수상레저
32592,[경기 파주] 헤이리 공룡탐험대
32593,[경기 가평] 모비딕 수상레저 : ★ 여름특가
32594,[충남 천안] 상록리조트 놀이동산 BIG6 주말권
32597,[강원 양양] 서파리
32603,[경기 가평] 클럽제로 수상레저
32605,[경기 가평] 가평 별비치 워터파크 성수기 : 06/23 ~ 08/31
32607,[강원 강릉] 크러쉬서프
32608,[서울 수유] 주토피아 : 동물카페
32609,[강원 강릉] 커피커퍼 경포/왕산점 : 이색박물관
32610,[경기 가평]철없는수상레저 ★ 고객감사 초특가
32613,[경기 가평] M2 수상레저 ★ 여름맞이 초특가
32621,[강원 양양] 모쿠서프
32624,[서울 강서] 캔들&프리저브드 플라워 스튜디오
32626,[경기 가평] 룰루랄라 수상레저
32627,[경북 청도] 청도프로방스 패키지
32632,[경기 파주] 헤이리 쿠키야 노올자
32650,[경기 가평] 물미수상레저
32715,[서울 성수] 인생사진관2
32719,[경기 파주] 헤이리 피자야 노올자
32725,[서울 강동] PSR 레이싱 : 성내본점
32742,[강원 고성] 론존 서프
32744,[경기 파주] 금강산랜드 워터파크
32764,[제주 안덕] 피규어뮤지엄 제주
32765,[제주 구좌] 워터서커스
32767,[제주 조천] 캐릭파크
32768,[제주 구좌] 석예원 천연족욕테라피
32770,[제주 대정] 마라도가는 여객선 : 송악산항
32771,[제주 서귀포] 믿거나말거나 박물관
32773,[제주 중문] 플레이케이팝 박물관
32774,[제주 서귀포] 워터월드 해수사우나
32777,[제주 서귀포] 샹그릴라 요트 : 해안절경을 한번에
32778,[제주 서귀포] 마라도 잠수함
32780,[제주 서귀포] 서귀포 유람선
32782,[제주 서귀포] 아프리카 박물관
32783,[제주 애월] 공룡랜드 & 앵무새사파리
32784,[제주 제주시] 넥슨컴퓨터박물관
32788,[제주 성산] 일출랜드
32790,[제주 서귀포] 중문카트
32792,[제주 대정] 초콜릿박물관
32795,[제주 서귀포] 허브동산 주간권
32796,[제주 구좌] 메이즈랜드
32797,[제주 조천] 선녀와나무꾼 : 실내관광지
32798,[제주 안덕] 점보빌리지 코끼리 트래킹 체험
32799,[제주 안덕] 세계자동차 박물관 + 음료증정
32801,[제주 구좌] 제주 레일바이크
32802,[제주 표선] 민속촌 : 제주의 전통 체험
32804,[제주 한경] 유리박물관
32805,[제주 서귀포] 테디베어 뮤지엄 : 이색박물관
32806,[제주 중문] 퍼시픽랜드
32808,[제주 안덕] 항공우주박물관
32809,[제주 남원] 휴애리 자연생활공원
32810,[제주 안덕] 산방산 탄산온천
32811,[제주 안덕] 소인국 테마파크
32812,[제주 표선] 다이나믹 메이즈 EP3
32814,[제주 안덕] 코끼리테마쇼 점보빌리지
32818,[제주 구좌] 김녕미로공원
32820,[제주 대정] 노리매 테마파크
32821,[제주 한림] 돌마을공원
32822,[제주 성산] 오션파크 스노쿨링
32823,[제주 안덕] 본태박물관
