LSR_GOODS_CD,LSR_GOODS_NM,RFN_POLICY_DC
19407,[경기 양평] 추억의 청춘뮤지엄,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
19541,[경북 경산] 경산 스파월드 : 사우나 & 찜질방,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
19589,[서울 목동] 목동 종합사격장,* 유효기간 내 취소/환불 가능 * 사용한 티켓 환불 불가 * 유효기간 경과 후 환불 불가
19595,[서울 송파] 송파 사격장,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
19598,[대전 동구] 그레이트피그미풀 : 대전복합터미널점,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
19722,[전북] 전북투어패스,• 유효기간 이내 환불가능 • 유효기간 이후 미사용 티켓 환불 가능 • 사용개시 후 취소/환불/교환 불가
19733,[서울 마포] 팝아트 : 초상화체험 풍뎅이의숲,"• 미사용티켓 환불 가능  • 유효기간 이후 미사용티켓 환불 가능  • 사용한 티켓 환불 불가    [티켓 예약시]  • 해당상품은 전화 예약시 티켓 사용처리됩니다.  • 예약 후 취소를 원하시면 야놀자 고객센터 1644-1346으로 연락 바랍니다.  • 전화예약 및 사진전송 이후엔 환불 불가합니다.   * 전화예약과 동시에 스케치 작업이 들어갑니다.   * 예약(이용)일 이전에 방문일정 변경은 가능   * 예약(이용)당일 취소, 환불 불가"
19767,[제주 제주시] RPB 패러글라이딩,"• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가 • 취소 요청 후 최대 7일 이내 취소 확정 여부를 확인 드립니다.   [티켓 예약시] • 해당상품은 업체로 전화 또는 홈페이지 예약시 티켓 사용처리됩니다. • 예약 후 취소를 원하시면 레저큐 고객센터 1644-1346으로 연락 바랍니다.    *  이용 2일전까지 취소신청시 100%환불가능    * 이용 1일전 및 당일 환불불가      * 단, 천재지변에 의한 기상상황 악화로 인해 비행을 못할경우 취소가능 / 현장기준.    *  이용일 당일 미사용시(No Show) 환불불가"
19912,[강원 인제] 엑스게임 리조트 번지점프 이용권,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가  [티켓 예약시] • 해당상품은 티켓예약시 사용처리됩니다.    * 이용일 1일전 까지 100%환불    * 이용당일 환불불가
19952,[전북 전주] 전주 한옥마을패스권,• 유효기간 이내 환불가능 • 유효기간 이후 미사용 티켓 환불 가능 • 사용개시 후 취소/환불/교환 불가
