LSR_GOODS_CD,LSR_GOODS_NM,SLE_STATE_DC
27371,[대전 중구] 아쿠아리움 + 애니멀파크 패키지,STOP
27375,[일산] 킨텍스 상상체험 키즈월드 시즌6 실내썰매,STOP
27381,[대전 서구] 하이주 동물키즈카페,STOP
27382,[부산 해운대]하이주 실내동물원,STOP
27383,[경기 부천] 실내 동물원 하이주,STOP
27392,[전북 남원] 남원투어패스,STOP
27403,[전남 여수] 엑스포 카트,STOP
27413,[부산 수영] 광안리 커플라운지 이색카페,SOLDOUT
27414,[경기 화성] 하늘땅랜드 체험농장,STOP
27430,[제주] 스타렉스 12인승 (경유) 2010~11년형 : 자차보험 포함,STOP
27434,[제주] 아반떼AD/i30/올뉴K3 (휘발유) 2016~2017년형 랜덤배정 : 자차보험 포함,STOP
27450,[제주] 올뉴모닝 (휘발유) 2014년형 : 자차보험 포함,STOP
27451,"[제주] 올 뉴카니발 9인승,11인승(금연/경유) 2014~17년형 (랜덤배정) : 자차보험 포함",STOP
27454,남원투어패스 + 지리산허브밸리,STOP
27483,[전북 장수] 장수투어패스 + 승마체험장,STOP
27494,[서울 중구]시티투어버스,STOP
27495,[부산 동구] 시티투어 점보버스,STOP
27496,경주 한복 나드리,STOP
27517,[경남 남해] 원예예술촌,STOP
27527,[강원 강릉] 심신프리카페,STOP
27557,[전북] 익산투어패스,STOP
27627,[경기 부천] 아인스 토이바운스 팡팡 놀이터,STOP
27631,[전북 익산] 교도소세트장 체험 + 익산투어패스,STOP
27654,[전북 김제] 김제 투어패스,STOP
27788,[전북 순창] 순창투어패스,STOP
27906,[강원 속초] ★설악워터피아 대인 종일권 특가!,STOP
27907,[부산 해운대] ★ SEA LIFE BUSAN : 부산 아쿠아리움,STOP
27962,[경북 경산] 팔공산 갓바위 워터피아 온천 이용권,STOP
27971,담양리조트 온천이용권,STOP
27973,경주 버드파크 이용권,STOP
28008,[제주] K5 2011~13년형(LPG) 랜덤배정 : 자차보험 포함,STOP
28009,[제주] 아반떼MD 2011~15년형(LPG/휘발유) 랜덤배정 : 자차보험 포함,STOP
28010,[제주] ALL NEW K5 (금연/LPG) 랜덤배정 2018년형 : 자차보험 포함,STOP
28011,[제주] LF소나타&NEW K5 2015~16년형(금연/LPG) 랜덤배정 : 자차보험 포함,STOP
28012,[제주] 소형SUV 코나 2018년형 (금연/휘발유) : 자차보험 포함,STOP
28022,[경남 진주] 진주랜드,STOP
28057,[전남 여수] 아쿠아플라넷 입장권,STOP
28064,[전남 여수] 여수 아쿠아플라넷 + 테디베어 패키지,STOP
28070,[전남 여수] 여수 아쿠아플라넷 + 레일바이크 패키지,STOP
28083,[서울 여의도] 아쿠아플라넷 63/63아트,STOP
28084,[경기 일산] 아쿠아플라넷,STOP
28085,[제주 성산] 아쿠아플라넷 이용권,STOP
28086,[전북 군산] 테디베어 박물관,STOP
28087,[전북 정읍] 정읍투어패스,STOP
28180,[서울 신도림] 코코몽 녹색놀이터,STOP
28196,[경기 화성] 하피랜드,STOP
28198,[전북 정읍] 정읍투어패스+시암아트센터,STOP
28217,[충남 당진] 삽교호놀이동산 앵무새 체험관,STOP
28218,[충남 당진] 삽교호 짚트랙,STOP
28221,[충남 태안] 안면 카트체험장,STOP
28222,[충남 홍성] 조류탐사과학관 + 4D영상체험,STOP
28223,[충남 아산] 온양관광호텔 온천사우나 입장권,STOP
28225,[경기 안산] 뛰뛰빵빵 어드벤처 NC백화점,STOP
28226,[경기 광명] 코코몽어드벤처 대형 실내 놀이터,STOP
28228,[서울 김포] 코코몽 녹색놀이터 김포공항점,STOP
28229,[인천 계양] 코코몽어드벤처 대형 실내 놀이터,STOP
28260,[제주] 레이 2015년형(금연/휘발유) : 자차보험 포함,STOP
28477,[경기 양평] 들꽃수목원,STOP
28484,[제주 서귀포] ★금호리조트 제주아쿠아나,STOP
28485,[제주 서귀포] 금호리조트 제주아쿠아나,STOP
28492,[충남 아산] 아산스파비스 종일권,STOP
28581,[서울 종로] 프리징아일랜드,STOP
28663,[고창/군산/부안] 고군부 투어패스 + 테디베어뮤지엄,STOP
28705,[임실/순창/남원] 임순남 투어패스 + 치즈테마파크,STOP
28746,[대구 동구] 미니멀동물원 이시아점,STOP
28749,[김제/군산/익산] 김군익투어패스+익산교도소세트장,STOP
28752,[강원 홍천] 휘바핀란드,STOP
28801,제주 아쿠아플라넷,STOP
28946,[정읍/순창/임실] 정순실 투어패스 + 시암아트센터,STOP
29003,[진안/완주/전주] 진완전투어패스+홍삼스파 패키지,STOP
29039,아이스뮤지엄 & 3D착시아트,STOP
29072,[전남 완도] 완도 청해포구 촬영장,STOP
29117,[경기 여주] 주주팜,STOP
29179,[제주] 제주여행 자유이용권 BIG 2/3/4/5,STOP
29182,해브나인 힐링스파,STOP
29190,[제주] 아쿠아플라넷 BIG 2/3/5 자유이용권,STOP
29233,[강원 강릉] 경포 아쿠아리움,STOP
29248,[충남 천안] 상록리조트 놀이동산 패키지,STOP
29249,[전북 고창] 고창투어패스 + 석정휴스파 패키지,STOP
29268,[충남 태안] 태안투어패스 (구매 다음 날 이용 가능),STOP
29279,[잠실새내/부천점] 스크린사격장 타겟존,STOP
29281,[대전 유성]티놀자 애니멀파크,STOP
29290,[경기 일산] 실내동물원 와우쥬,STOP
29293,[제주 제주시] 바이크트립 자전거 렌탈패키지,STOP
29294,[강원 속초] 얼라이브하트 + 다이나믹 메이즈 에피소드2,STOP
29307,[서울 중구] 명동 실탄사격장,STOP
29380,얼라이브하트 + 다이나믹 메이즈 에피소드2,STOP
29381,[경기 성남] 몬스터타운,STOP
29386,[충북 충주] 수안 보온천랜드 입장권,STOP
29396,[충남 천안] 실내동물원 테마파크 쥬쥬피아,STOP
29397,[경기 양주] 양주 애니멀카페 실내동물원,STOP
29409,[서울 강동]더쥬 실내동물원,STOP
29423,[충북] 힐링투어패스,STOP
29438,[경기 남양주] 남양주 플레이주 : 실내동물원,STOP
29486,숲속 한방랜드 입장권,STOP
29488,[서울 용산] 드래곤 힐스파 이용권,STOP
29533,[부산] 앙코르 벡스코 상상체험 + 레이싱 키즈월드,STOP
29546,[강원 정선] 삼탄아트마인,STOP
29552,[경기 수원] 실내동물원 쥬몽,STOP
29556,[안성] 팜랜드 패키지,STOP
29591,[전북 군산] 선유스카이 선라인,STOP
29594,[경기 여주] 썬밸리 워터파크 종일권,STOP
29656,[강원 춘천] 제이드가든,STOP
